wals code,name,value,description,latitude,longitude,genus,family,area
yey,Yeyi,2,Moderately complex,-20,23.5,Bantu,Niger-Congo,Phonology
yid,Yidiny,2,Moderately complex,-17,145.75,Northern Pama-Nyungan,Pama-Nyungan,Phonology
yim,Yimas,2,Moderately complex,-4.666666667,143.55,Lower Sepik,Ramu-Lower Sepik,Phonology
yor,Yoruba,1,Simple,8,4.333333333,Defoid,Niger-Congo,Phonology
ycn,Yucuna,2,Moderately complex,-0.75,-71,Japura-Colombia,Arawakan,Phonology
yko,Yukaghir (Kolyma),2,Moderately complex,65.75,150.8333333,Yukaghir,Yukaghir,Phonology
ytu,Yukaghir (Tundra),3,Complex,69,155,Yukaghir,Yukaghir,Phonology
yul,Yulu,2,Moderately complex,8.5,25.25,Bongo-Bagirmi,Central Sudanic,Phonology
yus,Yupik (Siberian),2,Moderately complex,65,-173,Eskimo,Eskimo-Aleut,Phonology
yur,Yurok,3,Complex,41.33333333,-124,Yurok,Algic,Phonology
zqc,Zoque (Copainalá),3,Complex,17,-93.25,Mixe-Zoque,Mixe-Zoque,Phonology
zul,Zulu,2,Moderately complex,-30,30,Bantu,Niger-Congo,Phonology
zun,Zuni,2,Moderately complex,35.08333333,-108.8333333,Zuni,Zuni,Phonology
