wals code,name,value,description,latitude,longitude,genus,family,area
mto,Malto,1,OV,25,87.33333333,Dravidian,Dravidian,Word Order
mam,Mam,2,VO,15,-91.83333333,Mayan,Mayan,Word Order
mmn,Mamanwa,2,VO,9.416666667,125.5,Greater Central Philippine,Austronesian,Word Order
mla,Mambila,2,VO,6.75,11.5,Mambiloid,Niger-Congo,Word Order
mmv,Mamvu,2,VO,3.25,29,Mangbutu-Efe,Central Sudanic,Word Order
mds,Manadonese,2,VO,1.5,124.8333333,Malayo-Sumbawan,Austronesian,Word Order
mnm,Manam,1,OV,-4,145,Oceanic,Austronesian,Word Order
nmm,Manange,1,OV,28.58333333,84,Bodic,Sino-Tibetan,Word Order
mnc,Manchu,1,OV,49.5,127.5,Tungusic,Altaic,Word Order
mdn,Mandan,1,OV,46.5,-102.5,Mandan,Siouan,Word Order
mnd,Mandarin,2,VO,34,110,Chinese,Sino-Tibetan,Word Order
mkg,Mandinka (Gambian),1,OV,13.41666667,-16,Western Mande,Mande,Word Order
mem,Manem,1,OV,-3,140.8333333,Border,Border,Word Order
mmb,Mangap-Mbula,2,VO,-5.666666667,148.0833333,Oceanic,Austronesian,Word Order
myi,Mangarrayi,1,OV,-14.66666667,133.5,Mangarrayi,Mangarrayi-Maran,Word Order
mbt,Mangbetu,2,VO,2.5,26.5,Mangbetu,Central Sudanic,Word Order
mng,Manggarai,2,VO,-8.5,120.3333333,Central Malayo-Polynesian,Austronesian,Word Order
mgg,Mangghuer,1,OV,36,102,Mongolic,Altaic,Word Order
maw,Maninka (Western),1,OV,13,-11,Western Mande,Mande,Word Order
mkq,Mankon,2,VO,6,10.16666667,Wide Grassfields,Niger-Congo,Word Order
man,Mano,1,OV,7,-9,Eastern Mande,Mande,Word Order
mwb,Manobo (Western Bukidnon),2,VO,7.666666667,124.75,Greater Central Philippine,Austronesian,Word Order
mns,Mansi,1,OV,62,62,Ugric,Uralic,Word Order
mao,Maori,2,VO,-40,176,Oceanic,Austronesian,Word Order
map,Mapudungun,2,VO,-38,-72,Araucanian,Araucanian,Word Order
mra,Mara,3,No dominant order,-15,135.1666667,Mara,Mangarrayi-Maran,Word Order
mku,Maranungku,1,OV,-13.66666667,130,Wagaydy,Western Daly,Word Order
mhi,Marathi,1,OV,19,76,Indic,Indo-European,Word Order
mrc,Marchha,1,OV,30.25,79.58333333,Bodic,Sino-Tibetan,Word Order
mny,Margany,1,OV,-27,144.5,Northern Pama-Nyungan,Pama-Nyungan,Word Order
mrg,Margi,2,VO,11,13,Biu-Mandara,Afro-Asiatic,Word Order
mme,Mari (Meadow),1,OV,57,48,Mari,Uralic,Word Order
mar,Maricopa,1,OV,33.16666667,-113.1666667,Yuman,Hokan,Word Order
mrd,Marind,1,OV,-7.833333333,140.1666667,Marind-Yaqay,Trans-New Guinea,Word Order
mrr,Maringarr,1,OV,-14.25,130,Bringen,Western Daly,Word Order
mrq,Marquesan,2,VO,-8.916666667,-140.0833333,Oceanic,Austronesian,Word Order
mrh,Marrithiyel,1,OV,-13.83333333,130,Bringen,Western Daly,Word Order
mrt,Martuthunira,2,VO,-20.83333333,116.5,Western Pama-Nyungan,Pama-Nyungan,Word Order
mru,Maru,1,OV,23.5,98.5,Burmese-Lolo,Sino-Tibetan,Word Order
mas,Masa,2,VO,10.5,15.5,Masa,Afro-Asiatic,Word Order
msk,Masakin,2,VO,10.66666667,30,Talodi,Kordofanian,Word Order
msl,Masalit,1,OV,13.33333333,22,Maban,Maban,Word Order
mtt,Massachusett,3,No dominant order,42.5,-71,Algonquian,Algic,Word Order
mts,Matis,1,OV,-4.416666667,-70.25,Panoan,Pano-Tacanan,Word Order
mdl,Matngele,1,OV,-13.83333333,130.4166667,Eastern Daly,Eastern Daly,Word Order
myr,Matsés,1,OV,-5.416666667,-73.25,Panoan,Pano-Tacanan,Word Order
mtb,Matuumbi,2,VO,-8.5,39,Bantu,Niger-Congo,Word Order
mka,Mauka,1,OV,8.333333333,-7.5,Western Mande,Mande,Word Order
mau,Maung,2,VO,-11.91666667,133.5,Iwaidjan,Iwaidjan,Word Order
max,Maxakalí,1,OV,-18,-40,Maxakalian,Macro-Ge,Word Order
may,Maybrat,2,VO,-1.333333333,132.5,Maybrat,Maybrat,Word Order
myg,Mayogo,2,VO,3,29,Ubangi,Niger-Congo,Word Order
mzc,Mazatec (Chiquihuitlán),2,VO,17.75,-96.91666667,Popolocan,Oto-Manguean,Word Order
mzh,Mazatec (Huautla),3,No dominant order,18.25,-96.83333333,Popolocan,Oto-Manguean,Word Order
mba,Mba,2,VO,1,25,Ubangi,Niger-Congo,Word Order
mhu,Mbalanhu,2,VO,-17.5,15,Bantu,Niger-Congo,Word Order
mbr,Mbara,2,VO,11,15.41666667,Biu-Mandara,Afro-Asiatic,Word Order
mby,Mbay,2,VO,8.25,17.5,Bongo-Bagirmi,Central Sudanic,Word Order
mbe,Mbere,2,VO,-0.5,14,Bantu,Niger-Congo,Word Order
mbi,Mbili,2,VO,6.116666667,10.2,Wide Grassfields,Niger-Congo,Word Order
mdo,Mbodomo,2,VO,4.5,15.5,Gbaya-Manza-Ngbaka,Niger-Congo,Word Order
mbl,Mbole,2,VO,-0.6666666667,24.66666667,Bantu,Niger-Congo,Word Order
mdw,Mbosi,2,VO,-1.25,15.5,Bantu,Niger-Congo,Word Order
mbm,Mbum,2,VO,7.75,13.16666667,Mbumic,Niger-Congo,Word Order
mee,Me'en,2,VO,5,37,South Surmic,Eastern Sudanic,Word Order
meh,Mehri,2,VO,17,51.5,Semitic,Afro-Asiatic,Word Order
mei,Meithei,1,OV,24.75,94,Manipuri,Sino-Tibetan,Word Order
mek,Mekens,1,OV,-12.5,-61.5,Tupari,Tupian,Word Order
mke,Mekeo,1,OV,-8.333333333,146.5,Oceanic,Austronesian,Word Order
mde,Mende,1,OV,7.833333333,-11.5,Western Mande,Mande,Word Order
men,Menomini,3,No dominant order,45.5,-88.33333333,Algonquian,Algic,Word Order
mey,Menya,1,OV,-7.25,146,Nuclear Angan,Trans-New Guinea,Word Order
mer,Meryam Mir,1,OV,-9.916666667,144.0833333,Eastern Trans-Fly,Eastern Trans-Fly,Word Order
mea,Meyah,2,VO,-1.166666667,133.5,East Bird's Head,East Bird's Head,Word Order
mpt,Mian,1,OV,-4.75,141.5,Ok,Trans-New Guinea,Word Order
mie,Mien,2,VO,25,111,Mienic,Hmong-Mien,Word Order
mii,Miisiirii,1,OV,13.5,22,Taman,Eastern Sudanic,Word Order
mij,Miju,1,OV,29,96,Kman-Meyor,Sino-Tibetan,Word Order
mki,Mikasuki,1,OV,32,-85,Muskogean,Muskogean,Word Order
mik,Mikir,1,OV,26.33333333,93.5,Karbic,Sino-Tibetan,Word Order
mil,Milang,1,OV,28.5,95.25,Tani,Sino-Tibetan,Word Order
hna,Mina,2,VO,10.33333333,13.83333333,Biu-Mandara,Afro-Asiatic,Word Order
min,Minangkabau,3,No dominant order,-1,101,Malayo-Sumbawan,Austronesian,Word Order
mnv,Minaveha,1,OV,-9.6,150.4666667,Oceanic,Austronesian,Word Order
msg,Mising,1,OV,28.5,94.83333333,Tani,Sino-Tibetan,Word Order
mis,Miskito,1,OV,14,-83.66666667,Misumalpan,Misumalpan,Word Order
mss,Miwok (Southern Sierra),3,No dominant order,37.5,-120,Miwok,Penutian,Word Order
mxx,Mixe (Ayutla),3,No dominant order,17.08333333,-96.08333333,Mixe-Zoque,Mixe-Zoque,Word Order
mxc,Mixtec (Chalcatongo),2,VO,17.05,-97.58333333,Mixtec,Oto-Manguean,Word Order
mxj,Mixtec (Jicaltepec),2,VO,16.33333333,-98,Mixtec,Oto-Manguean,Word Order
mxo,Mixtec (Ocotepec),2,VO,17.16666667,-97.75,Mixtec,Oto-Manguean,Word Order
mxp,Mixtec (Peñoles),2,VO,17.08333333,-96.91666667,Mixtec,Oto-Manguean,Word Order
mxy,Mixtec (Yosondúa),2,VO,16.91666667,-97.58333333,Mixtec,Oto-Manguean,Word Order
miy,Miya,2,VO,10.91666667,9.666666667,West Chadic,Afro-Asiatic,Word Order
miz,Mizo,1,OV,23.16666667,92.83333333,Kuki-Chin,Sino-Tibetan,Word Order
mlm,Mlabri (Minor),2,VO,18.5,101,Khmuic,Austro-Asiatic,Word Order
mcv,Mocoví,2,VO,-28,-60.5,Qom,Guaicuruan,Word Order
mof,Mofu-Gudur,2,VO,10.5,14,Biu-Mandara,Afro-Asiatic,Word Order
mog,Moghol,1,OV,35,62,Mongolic,Altaic,Word Order
moh,Mohawk,3,No dominant order,43.5,-74.25,Northern Iroquoian,Iroquoian,Word Order
mok,Mokilese,2,VO,6.666666667,159.75,Oceanic,Austronesian,Word Order
mom,Mombum,1,OV,-8.25,138.75,Mombum,Mombum,Word Order
fqs,Momu,1,OV,-3,141.5833333,Baibai-Fas,Baibai-Fas,Word Order
mqf,Momuna,1,OV,-4.833333333,139.25,Somahai,Trans-New Guinea,Word Order
mon,Mon,2,VO,14.83333333,100.5,Monic,Austro-Asiatic,Word Order
mga,Mondunga,2,VO,2.25,21.5,Ubangi,Niger-Congo,Word Order
mgo,Mongo,2,VO,0,21,Bantu,Niger-Congo,Word Order
mkh,Mongol (Khamnigan),1,OV,49,117,Mongolic,Altaic,Word Order
mni,Moni,1,OV,-3.666666667,137,Paniai Lakes,Trans-New Guinea,Word Order
mno,Mono (in United States),1,OV,38,-119,Northern Uto-Aztecan,Uto-Aztecan,Word Order
moa,Mono-Alu,3,No dominant order,-7.05,155.75,Oceanic,Austronesian,Word Order
mbo,Monumbo,1,OV,-4.25,145,Bogia,Bogia,Word Order
moo,Mooré,2,VO,12.83333333,-1.25,Oti-Volta,Niger-Congo,Word Order
mor,Mor,2,VO,-2.95,135.75,South Halmahera - West New Guinea,Austronesian,Word Order
mri,Moraori,1,OV,-8.583333333,140.6666667,Moraori,Moraori,Word Order
moe,Mordvin (Erzya),2,VO,53,45.5,Mordvin,Uralic,Word Order
mro,Moro,2,VO,11,30.16666667,Heiban,Kordofanian,Word Order
mou,Moru,3,No dominant order,4.75,29.75,Moru-Ma'di,Central Sudanic,Word Order
mos,Mosetén,2,VO,-14.75,-67.83333333,Mosetenan,Mosetenan,Word Order
mtu,Motu,1,OV,-9.333333333,147,Oceanic,Austronesian,Word Order
mot,Motuna,1,OV,-6.616666667,155.4166667,South Bougainville,South Bougainville,Word Order
mov,Movima,2,VO,-13.83333333,-65.66666667,Movima,Movima,Word Order
mpo,Mpongwe,2,VO,-1.25,9.5,Bantu,Niger-Congo,Word Order
mpu,Mpur,2,VO,-0.75,133.25,Mpur,Mpur,Word Order
aoj,Mufian,2,VO,-3.5,143,Kombio-Arapesh,Torricelli,Word Order
mui,Muinane,1,OV,-1,-72.5,Boran,Boran,Word Order
msc,Muisca,1,OV,5,-74,Chibcha-Duit,Chibchan,Word Order
mum,Mumuye,2,VO,9,11.66666667,Mumuye-Yandang,Niger-Congo,Word Order
mna,Muna,2,VO,-5,122.5,Celebic,Austronesian,Word Order
mdg,Mundang,2,VO,9.666666667,14.5,Mbumic,Niger-Congo,Word Order
mun,Mundari,1,OV,23,84.66666667,Munda,Austro-Asiatic,Word Order
muu,Mundurukú,1,OV,-7,-58,Munduruku,Tupian,Word Order
mgk,Mungaka,2,VO,5.916666667,10,Wide Grassfields,Niger-Congo,Word Order
mup,Mupun,2,VO,9.5,8.833333333,West Chadic,Afro-Asiatic,Word Order
mrl,Murle,2,VO,6.5,33.5,South Surmic,Eastern Sudanic,Word Order
mpa,Murrinh-Patha,1,OV,-14.66666667,129.6666667,Murrinh-Patha,Southern Daly,Word Order
mur,Mursi,2,VO,5.583333333,36.08333333,South Surmic,Eastern Sudanic,Word Order
mrw,Muruwari,3,No dominant order,-28.75,147,Southeastern Pama-Nyungan,Pama-Nyungan,Word Order
mgu,Musgu,2,VO,10.83333333,14.91666667,Biu-Mandara,Afro-Asiatic,Word Order
msm,Musom,2,VO,-6.583333333,147,Oceanic,Austronesian,Word Order
msq,Musqueam,2,VO,49.16666667,-123,Central Salish,Salishan,Word Order
mus,Mussau,2,VO,-1.45,149.6166667,Oceanic,Austronesian,Word Order
mut,Mutsun,2,VO,36.83333333,-121.5,Costanoan,Penutian,Word Order
mwe,Mwera,2,VO,-9,39,Bantu,Niger-Congo,Word Order
mwo,Mwotlap,2,VO,-13.58333333,167.5833333,Oceanic,Austronesian,Word Order
nab,Nabak,1,OV,-6.416666667,147,Huon,Trans-New Guinea,Word Order
ndr,Nadroga,2,VO,-18.08333333,177.4166667,Oceanic,Austronesian,Word Order
nad,Nadëb,1,OV,-1,-66.5,Nadahup,Nadahup,Word Order
nma,Naga (Mao),1,OV,25.5,94.33333333,Angami-Pochuri,Sino-Tibetan,Word Order
ngt,Naga (Tangkhul),1,OV,25,94.5,Tangkhul-Maring,Sino-Tibetan,Word Order
nze,Naga (Zeme),1,OV,25.16666667,93.5,Zemeic,Sino-Tibetan,Word Order
nag,Nagatman,1,OV,-3.75,141.5,Yale,Yale,Word Order
nhh,Nahuatl (Huasteca),2,VO,22,-99,Aztecan,Uto-Aztecan,Word Order
nhm,Nahuatl (Michoacán),2,VO,18.5,-103,Aztecan,Uto-Aztecan,Word Order
nhn,Nahuatl (North Puebla),2,VO,20,-98.25,Aztecan,Uto-Aztecan,Word Order
nht,Nahuatl (Tetelcingo),2,VO,19.66666667,-99,Aztecan,Uto-Aztecan,Word Order
bio,Nai,1,OV,-3.716666667,141.2666667,Kwomtari,Kwomtari,Word Order
nak,Nakanai,2,VO,-5.583333333,150.5833333,Oceanic,Austronesian,Word Order
nal,Nalik,2,VO,-2.95,151.3333333,Oceanic,Austronesian,Word Order
kho,Nama,1,OV,-25.5,18,Khoe-Kwadi,Khoe-Kwadi,Word Order
nmb,Nambikuára (Southern),1,OV,-14,-59.5,Nambikuaran,Nambikuaran,Word Order
nam,Namia,1,OV,-3.833333333,141.75,Yellow River,Sepik,Word Order
nnc,Nancowry,2,VO,8.05,93.5,Nicobarese,Austro-Asiatic,Word Order
nan,Nandi,2,VO,0.25,35,Eastern Nilotic,Eastern Sudanic,Word Order
nnk,Nankina,1,OV,-5.783333333,146.45,Finisterre,Trans-New Guinea,Word Order
nph,Nar-Phu,1,OV,28.66666667,84.25,Bodic,Sino-Tibetan,Word Order
nar,Nara (in Ethiopia),1,OV,15.08333333,37.58333333,Nara,Eastern Sudanic,Word Order
nas,Nasioi,1,OV,-6.333333333,155.5833333,South Bougainville,South Bougainville,Word Order
nat,Natchez,1,OV,31.75,-91.33333333,Natchez,Natchez,Word Order
nau,Nauruan,2,VO,-0.5,166.9166667,Oceanic,Austronesian,Word Order
nav,Navajo,1,OV,36.16666667,-108,Athapaskan,Na-Dene,Word Order
ncm,Ncàm,2,VO,9.333333333,0.6666666667,Oti-Volta,Niger-Congo,Word Order
ndb,Ndebele,2,VO,-25.33333333,29,Bantu,Niger-Congo,Word Order
ndj,Ndjébbana,1,OV,-12.16666667,134.1166667,Ndjébbana,Mangrida,Word Order
ndo,Ndonga,2,VO,-18,17,Bantu,Niger-Congo,Word Order
ndu,Ndumu,2,VO,-1.666666667,13.58333333,Bantu,Niger-Congo,Word Order
ndt,Ndut,2,VO,14.91666667,-16.91666667,Cangin,Niger-Congo,Word Order
ndy,Ndyuka,2,VO,4.5,-54.5,Creoles and Pidgins,other,Word Order
neh,Nehan,2,VO,-4.5,154.2,Oceanic,Austronesian,Word Order
nnd,Nend,1,OV,-5,144.9166667,Sogeram,Trans-New Guinea,Word Order
ntu,Nenets,1,OV,70,76,Samoyedic,Uralic,Word Order
nne,Nengone,2,VO,-21.5,168,Oceanic,Austronesian,Word Order
naj,Neo-Aramaic (Arbel Jewish),1,OV,36.3833,44,Semitic,Afro-Asiatic,Word Order
nep,Nepali,1,OV,28,85,Indic,Indo-European,Word Order
nev,Nevome,1,OV,31,-112.5,Tepiman,Uto-Aztecan,Word Order
nwd,Newar (Dolakha),1,OV,27.33333333,86,Himalayish,Sino-Tibetan,Word Order
new,Newari (Kathmandu),1,OV,27.66666667,85.5,Himalayish,Sino-Tibetan,Word Order
ney,Neyo,3,No dominant order,5,-6,Kru,Niger-Congo,Word Order
nez,Nez Perce,3,No dominant order,46,-116,Sahaptian,Penutian,Word Order
ntj,Ngaanyatjarra,1,OV,-26,126.5,Western Pama-Nyungan,Pama-Nyungan,Word Order
ngd,Ngad'a,2,VO,-8.833333333,121,Central Malayo-Polynesian,Austronesian,Word Order
ngj,Ngadjumaja,1,OV,-32.33333333,123.8333333,Western Pama-Nyungan,Pama-Nyungan,Word Order
ngl,Ngalakan,3,No dominant order,-14.25,134,Eastern Gunwinyguan,Gunwinyguan,Word Order
nkb,Ngalkbun,1,OV,-13.5,134.8333333,Marne,Gunwinyguan,Word Order
ngm,Ngambay,2,VO,8.666666667,16,Bongo-Bagirmi,Central Sudanic,Word Order
ngg,Ngan'gityemerri,1,OV,-14.25,130.4166667,Ngankikurungkurr,Southern Daly,Word Order
nga,Nganasan,1,OV,71,93,Samoyedic,Uralic,Word Order
ngn,Ngandi,1,OV,-13.83333333,135,Eastern Gunwinyguan,Gunwinyguan,Word Order
ngk,Ngankikurungkurr,3,No dominant order,-14,130.5,Ngankikurungkurr,Southern Daly,Word Order
ngw,Ngawun,2,VO,-19,141.5,Northern Pama-Nyungan,Pama-Nyungan,Word Order
nbm,Ngbaka (Ma'bo),2,VO,3.56,18.36,Ubangi,Niger-Congo,Word Order
ndi,Ngbandi,2,VO,3.75,22,Ubangi,Niger-Congo,Word Order
nti,Ngiti,3,No dominant order,1.333333333,30.25,Lendu,Central Sudanic,Word Order
ngi,Ngiyambaa,1,OV,-31.75,145.5,Southeastern Pama-Nyungan,Pama-Nyungan,Word Order
ngz,Ngizim,2,VO,12.08333333,10.91666667,West Chadic,Afro-Asiatic,Word Order
nbe,Ngombe,2,VO,3,23,Bantu,Niger-Congo,Word Order
ngo,Ngoni,2,VO,-11,36,Bantu,Niger-Congo,Word Order
ngu,Nguna,2,VO,-16.91666667,168.5,Oceanic,Austronesian,Word Order
nbr,Ngäbere,1,OV,8.666666667,-82,Guaymiic,Chibchan,Word Order
nha,Nhanda,3,No dominant order,-27,114.1666667,Western Pama-Nyungan,Pama-Nyungan,Word Order
nia,Nias,2,VO,1,97.75,Northwest Sumatra-Barrier Islands,Austronesian,Word Order
nca,Nicobarese (Car),2,VO,9,93,Nicobarese,Austro-Asiatic,Word Order
nsn,Nisenan,1,OV,39,-121,Maiduan,Penutian,Word Order
nsg,Nisgha,2,VO,55,-130,Tsimshianic,Tsimshianic,Word Order
nif,Niuafo'ou,2,VO,-15.56666667,-175.6166667,Oceanic,Austronesian,Word Order
niu,Niuean,2,VO,-19.05,-170.1166667,Oceanic,Austronesian,Word Order
niv,Nivkh,1,OV,53.33333333,142,Nivkh,Nivkh,Word Order
nke,Nkem,2,VO,6.583333333,8.583333333,Ekoid-Mbe,Niger-Congo,Word Order
